date,temperature_2m,rain,precipitation_probability,relative_humidity_2m,wind_speed_10m
2026-05-15 00:00:00-07:00,9.298,0.0,10.0,87.0,13.281023
2026-05-15 01:00:00-07:00,9.048,0.0,9.0,82.0,11.212135
2026-05-15 02:00:00-07:00,8.598,0.0,10.0,86.0,5.8048253
2026-05-15 03:00:00-07:00,8.998,0.0,3.0,85.0,12.641076
2026-05-15 04:00:00-07:00,8.448,0.0,6.0,86.0,14.182355
2026-05-15 05:00:00-07:00,7.998,0.0,6.0,84.0,11.4862
2026-05-15 06:00:00-07:00,7.798,0.0,13.0,91.0,9.885262
2026-05-15 07:00:00-07:00,8.198,0.0,14.0,87.0,17.709658
2026-05-15 08:00:00-07:00,9.298,0.0,12.0,84.0,17.076298
2026-05-15 09:00:00-07:00,9.948,0.0,18.0,79.0,16.267857
2026-05-15 10:00:00-07:00,10.348,0.1,26.0,79.0,18.581022
2026-05-15 11:00:00-07:00,10.798,0.0,51.0,77.0,17.10284
2026-05-15 12:00:00-07:00,11.598,0.0,59.0,71.0,22.66857
2026-05-15 13:00:00-07:00,11.898,0.0,42.0,70.0,22.725668
2026-05-15 14:00:00-07:00,10.248,1.8000001,72.0,85.0,21.479664
2026-05-15 15:00:00-07:00,11.198,0.5,39.0,81.0,19.35314
2026-05-15 16:00:00-07:00,10.598,1.6,33.0,87.0,16.299694
2026-05-15 17:00:00-07:00,10.998,0.1,57.0,77.0,17.31746
2026-05-15 18:00:00-07:00,10.798,0.2,57.0,82.0,19.602652
2026-05-15 19:00:00-07:00,9.898,0.4,40.0,87.0,15.94601
2026-05-15 20:00:00-07:00,9.298,0.1,28.0,87.0,16.135872
2026-05-15 21:00:00-07:00,8.698,0.1,22.0,87.0,13.513193
2026-05-15 22:00:00-07:00,8.348,0.3,20.0,86.0,19.376562
2026-05-15 23:00:00-07:00,7.798,0.2,18.0,86.0,14.264361
2026-05-16 00:00:00-07:00,8.198,0.0,16.0,87.0,14.33234
2026-05-16 01:00:00-07:00,6.698,0.475,17.0,91.0,11.212135
2026-05-16 02:00:00-07:00,6.598,0.0,23.0,88.0,7.289445
2026-05-16 03:00:00-07:00,6.748,0.0,26.0,88.0,5.506941
2026-05-16 04:00:00-07:00,5.998,0.0,24.0,85.0,13.276144
2026-05-16 05:00:00-07:00,5.948,0.0,24.0,87.0,11.988594
2026-05-16 06:00:00-07:00,5.948,0.0,17.0,87.0,10.514218
2026-05-16 07:00:00-07:00,6.798,0.0,13.0,85.0,9.885262
2026-05-16 08:00:00-07:00,7.048,0.0,10.0,85.0,12.10157
2026-05-16 09:00:00-07:00,8.498,0.0,8.0,84.0,12.074766
2026-05-16 10:00:00-07:00,9.748,0.0,13.0,76.0,9.021574
2026-05-16 11:00:00-07:00,10.798,0.0,16.0,70.0,11.200571
2026-05-16 12:00:00-07:00,11.348,0.0,19.0,66.0,10.514218
2026-05-16 13:00:00-07:00,11.698,0.0,30.0,61.0,13.513193
2026-05-16 14:00:00-07:00,12.448,0.0,45.0,61.0,8.766573
2026-05-16 15:00:00-07:00,12.148,0.0,39.0,67.0,13.513193
2026-05-16 16:00:00-07:00,11.248,1.8,37.0,69.0,11.212135
2026-05-16 17:00:00-07:00,8.248,4.2000003,39.0,80.0,28.312117
2026-05-16 18:00:00-07:00,8.648,3.2,46.0,80.0,19.85556
2026-05-16 19:00:00-07:00,8.648,2.2,35.0,85.0,6.2145634
2026-05-16 20:00:00-07:00,8.398,0.0,19.0,85.0,12.371645
2026-05-16 21:00:00-07:00,7.198,0.0,7.0,86.0,8.891343
2026-05-16 22:00:00-07:00,6.698,0.0,43.0,87.0,7.968939
2026-05-16 23:00:00-07:00,6.548,0.0,43.0,89.0,8.699793
2026-05-17 00:00:00-07:00,6.048,0.0,1.0,91.0,8.905908
2026-05-17 01:00:00-07:00,5.848,0.0,1.0,88.0,12.015589
2026-05-17 02:00:00-07:00,5.798,0.0,1.0,89.0,9.346143
2026-05-17 03:00:00-07:00,6.2485,0.0,1.0,92.0,6.8989563
2026-05-17 04:00:00-07:00,6.124,0.0,1.0,93.0,6.8423676
2026-05-17 05:00:00-07:00,5.612,0.0,1.0,94.5,4.8240333
2026-05-17 06:00:00-07:00,5.95,0.0,0.0,94.0,3.096837
2026-05-17 07:00:00-07:00,6.55,0.0,0.0,92.0,3.2599385
2026-05-17 08:00:00-07:00,7.35,0.0,0.0,88.0,4.8433046
2026-05-17 09:00:00-07:00,7.75,0.0,0.0,86.0,4.1046314
2026-05-17 10:00:00-07:00,8.95,0.0,0.0,79.0,3.9763298
2026-05-17 11:00:00-07:00,10.85,0.0,0.0,68.0,5.154415
2026-05-17 12:00:00-07:00,11.25,0.0,0.0,65.0,6.9899354
2026-05-17 13:00:00-07:00,13.25,0.0,0.0,57.0,6.162207
2026-05-17 14:00:00-07:00,15.35,0.0,0.0,49.0,3.319036
2026-05-17 15:00:00-07:00,15.55,0.0,0.0,46.0,5.154415
2026-05-17 16:00:00-07:00,16.25,0.0,0.0,44.0,6.519877
2026-05-17 17:00:00-07:00,16.35,0.0,0.0,43.0,7.172949
2026-05-17 18:00:00-07:00,15.95,0.0,0.0,44.0,6.9899354
2026-05-17 19:00:00-07:00,14.95,0.0,0.0,48.0,7.072878
2026-05-17 20:00:00-07:00,12.35,0.0,0.0,60.0,5.6920996
2026-05-17 21:00:00-07:00,10.35,0.0,0.0,63.0,5.4477882
2026-05-17 22:00:00-07:00,9.85,0.0,0.0,62.0,5.8048253
2026-05-17 23:00:00-07:00,9.25,0.0,0.0,65.0,4.802999
